,0,1,2,3,4,5,6,7,8,9,10,11
0,138,3,43,590,2827,2727,3423,3821,4320,7136,23863,0
1,122,0,51,596,1581,1684,2110,2051,1958,2427,4319,0
2,274,1,120,1130,2277,1690,1584,1560,1784,2597,4672,0
3,139,0,94,590,2735,3748,4268,5012,5838,12554,43957,0
4,138,11,151,920,2407,2602,3613,3711,5104,9896,31858,0
5,132,16,211,1143,1418,2473,3262,4452,6071,13706,52190,0
6,98,0,190,655,3039,5392,7668,7527,9333,17674,59583,0
7,110,0,90,412,1505,1782,2339,2123,1998,2718,6494,0
8,117,5,76,407,1436,1726,2153,1990,1916,2780,6125,0
9,237,2,71,618,1804,1550,1367,1432,1641,2568,4136,0
10,154,3,78,531,3031,3217,4262,4876,6122,11382,42930,0
11,111,10,66,1435,2110,2274,3481,4142,4538,8861,31074,0
12,134,11,288,509,1907,3770,4864,5103,6845,14142,54215,0
13,87,4,194,466,2226,5295,6507,6829,8534,17165,60775,0
